№,要配慮者利用施設名称,所管課,郵便番号,所在地,電話番号,区分,避難確保計画対象,地域防災計画分類,緯度,経度,津波浸水レベル,高潮浸水レベル
118,元気広場　焼津,地域包括ケア推進課,425-0048,焼津市東道原10-6,054-623-5551,通所介護,○,?老人福祉施設,34.83596951,138.3079289,区域外,
119,シンシア焼津西（デイサロン）,地域包括ケア推進課,425-0038,焼津市黒石1-3-13,054-623-0968,"短期入所生活介護
通所介護",○,?老人福祉施設,34.8454292,138.3060785,区域外,
120,シンシア焼津西デイサービス,地域包括ケア推進課,425-0038,焼津市黒石1-4-34,054-656-2033,通所介護,○,?老人福祉施設,34.84605436,138.3066364,区域外,
125,あおい荘,地域包括ケア推進課,425-0054,焼津市一色435,054-623-9002,"介護老人福祉施設
短期入所生活介護
通所介護",○,?老人福祉施設,34.82368679,138.3148364,区域外,3
123,ゆうゆう,地域包括ケア推進課,425-0052,焼津市田尻4,054-625-0321,"介護老人保健施設
短期入所療養介護
通所リハビリテーション",○,?老人福祉施設,34.83025581,138.3150024,区域外,
124,有料老人ホームたんぽぽ田尻,地域包括ケア推進課,425-0052,焼津市田尻1903-1,054-625-0303,特定施設入居者生活介護,○,?老人福祉施設,34.82340169,138.3220668,1,4
122,つばさ,地域包括ケア推進課,425-0051,焼津市田尻北792-1,054-656-0656,"介護老人福祉施設
短期入所生活介護
通所介護、居宅介護",○,?老人福祉施設,34.83452501,138.3300708,2,4
121,グループホーム　つばさ,地域包括ケア推進課,425-0051,焼津市田尻北790,054-656-0056,認知症対応型共同生活介護,○,?老人福祉施設,34.83454997,138.3306364,2,4
117,シンシア焼津デイサービス,地域包括ケア推進課,425-0044,焼津市石津向町19-4,054-625-0968,通所介護,○,?老人福祉施設,34.84169868,138.3195201,2,4
116,デイサービス百の木,地域包括ケア推進課,425-0044,焼津市石津向町15-17,054-623-3665,通所介護,○,?老人福祉施設,34.8422621,138.3224186,3,4
127,コミュニティービレッジ下小田,地域包括ケア推進課,425-0059,焼津市下小田上町12-2,054-656-3777,小規模多機能型居宅介護・サービス付き高齢者向け住宅,○,?老人福祉施設,34.83630914,138.320061,区域外,
114,あいの街焼津,地域包括ケア推進課,425-0041,焼津市石津1-10-11,"（小）054-624-7002
（GH）054-624-7003","認知症対応型共同生活介護
小規模多機能型居宅介護",○,?老人福祉施設,34.84163574,138.3103407,区域外,
115,アースの介護付き有料老人ホーム　でらいと焼津,地域包括ケア推進課,425-0041,焼津市石津1-16-7,054-625-1300,"介護付有料老人ホーム
特定施設入居者生活介護",○,?老人福祉施設,34.84383735,138.3077021,区域外,
110,たんぽぽ　デイサービス石津,地域包括ケア推進課,425-0034,焼津市与惣次2-12-13,054-624-8422,通所介護,○,?老人福祉施設,34.84565186,138.3104376,区域外,
103,ニチイケアセンター焼津,地域包括ケア推進課,425-0036,焼津市西小川3-4-5,054-620-8501,通所介護,○,?老人福祉施設,34.85799669,138.3099913,区域外,3
104,焼津ショートステイそよ風,地域包括ケア推進課,425-0036,焼津市西小川3-12-5,054-621-5806,短期入所生活介護,○,?老人福祉施設,34.85669027,138.3078049,区域外,
102,Totono Nest Yaizu,地域包括ケア推進課,425-0036,焼津市西小川2-9-1,054-629-5550,認知症対応型共同生活介護,○,?老人福祉施設,34.86074382,138.3081359,区域外,1
94,機能訓練型デイサービスはれたす,地域包括ケア推進課,425-0026,焼津市焼津3-4-19,054-374-4790,通所介護,○,?老人福祉施設,34.86251953,138.3111171,区域外,3
106,焼津　亀松亭,地域包括ケア推進課,425-0035,焼津市東小川2-11-25,054-621-5110,"住宅型有料老人ホーム
通所介護",○,?老人福祉施設,34.85848226,138.3135707,1,4
107,デイサービス百の木　与惣次,地域包括ケア推進課,425-0034,焼津市与惣次1-14-15,054-623-4130,通所介護,○,?老人福祉施設,34.8458119,138.3078163,区域外,
99,はーとらいふ焼津,地域包括ケア推進課,425-0033,焼津市南小川１丁目9-2,054-631-5961,住宅型有料老人ホーム,○,?老人福祉施設,34.84764811,138.3118997,区域外,
100,介護付き有料老人ホーム　シンシア焼津,地域包括ケア推進課,425-0037,焼津市南小川1-1-6,054-656-0968,介護付有料老人ホーム,○,?老人福祉施設,34.84889617,138.312426,区域外,
98,通所リハビリテーションセンターMIRAI,地域包括ケア推進課,425-0031,焼津市小川新町5-2-3,054-627-5858,通所リハビリテーション,○,?老人福祉施設,34.8533827,138.3180697,2,4
97,介護付き有料老人ホーム　すずかけの木,地域包括ケア推進課,425-0031,焼津市小川新町4-3-23,054-631-6161,介護付有料老人ホーム,○,?老人福祉施設,34.85393663,138.3192923,3,4
92,デイサービスセンターかがやき,地域包括ケア推進課,425-0028,焼津市駅北1-9-12,054-626-4515,通所介護,○,?老人福祉施設,34.87451416,138.3199184,2,4
78,デイサービスごんべえ,地域包括ケア推進課,425-0088,焼津市大覚寺99,054-629-8244,通所介護,○,?老人福祉施設,34.87131239,138.2925309,区域外,
82,グループホーム　実夢大覚寺,地域包括ケア推進課,425-0088,焼津市大覚寺2-19-3,054-620-5517,認知症対応型共同生活介護,○,?老人福祉施設,34.87499485,138.2957387,区域外,
83,甲賀病院通所リハビリテーションセンター,地域包括ケア推進課,425-0088,焼津市大覚寺2-30-1,054-628-5614,通所リハビリテーション,○,?老人福祉施設,34.87535346,138.299716,区域外,
79,デイサービスセンター　ユピテル焼津,地域包括ケア推進課,425-0088,焼津市大覚寺1-6-8,054-620-8555,通所介護,○,?老人福祉施設,34.87696832,138.3009261,区域外,
77,グループホームすきっぷ,地域包括ケア推進課,425-0087,焼津市保福島1251,054-620-9335,認知症対応型共同生活介護,○,?老人福祉施設,34.87081624,138.2880491,区域外,
76,つばさ豊田,地域包括ケア推進課,425-0087,焼津市保福島1202,054-628-3355,"介護老人福祉施設
短期入所生活介護、通所介護",○,?老人福祉施設,34.86926487,138.2875773,区域外,
75,デイサービス　きたえるーむ焼津小土,地域包括ケア推進課,425-0086,焼津市小土308-1,054-639-5010,通所介護,○,?老人福祉施設,34.86825005,138.2947374,区域外,
93,グループホーム　ごんべえ　共用型デイサービスごんべえ,地域包括ケア推進課,425-0085,焼津市塩津135-1,054-621-3221,"認知症対応型共同生活介護
認知症対応型通所介護",○,?老人福祉施設,34.86667508,138.3099775,区域外,
70,セントケア　焼津大村,地域包括ケア推進課,425-0082,焼津市大村2-28-1,054-621-1060,小規模多機能型居宅介護,○,?老人福祉施設,34.87062256,138.3081893,区域外,
71,住宅型有料老人ホーム陽だまりの家五ヶ堀之内,地域包括ケア推進課,425-0077,焼津市五ヶ堀之内528-1,054-620-5523,住宅型有料老人ホーム,○,?老人福祉施設,34.8641,138.2988,区域外,
72,訪問看護ステーション「池ちゃん家」、西焼津看護多機能ホーム「池ちゃん家」,地域包括ケア推進課,425-0077,焼津市五ケ堀之内530-3,054-620-5523(訪看)　054-620-6477(看多機),看護小規模多機能型居宅介護,○,?老人福祉施設,34.86380886,138.2989152,区域外,
91,住宅型有料老人ホーム陽だまりの家小柳津,地域包括ケア推進課,425-0073,焼津市小柳津638-4,054-625-9820,住宅型有料老人ホーム,対象外,?老人福祉施設,34.8535,138.2899,区域外,
90,小規模多機能ホーム「池ちゃん家」焼津,地域包括ケア推進課,425-0073,焼津市小柳津638-4,054-625-9820,小規模多機能型居宅介護,対象外,?老人福祉施設,34.85333198,138.2899528,区域外,
74,デイサービスごかふれんど,地域包括ケア推進課,425-0077,焼津市五ケ堀之内1644-1,054-621-2020,通所介護,○,?老人福祉施設,34.85422065,138.2927585,区域外,
73,あずみ苑焼津,地域包括ケア推進課,425-0077,焼津市五ケ堀之内1283-1,054-620-4165,通所介護,○,?老人福祉施設,34.8577219,138.2951191,区域外,
86,ケアステーションあさひ西焼津・ふるさとホーム西焼津,地域包括ケア推進課,425-0074,焼津市柳新屋915-4,054-620-7117,通所介護,○,?老人福祉施設,34.86004313,138.288798,区域外,
85,リハビリ特化型デイサービス　ブルームラボ焼津,地域包括ケア推進課,425-0074,焼津市柳新屋830,054-631-6418,通所介護,○,?老人福祉施設,34.85865831,138.2912126,区域外,
89,リハートやいづ,地域包括ケア推進課,425-0073,焼津市小柳津630-5,054-631-7550,通所介護,○,?老人福祉施設,34.85315918,138.2891195,区域外,
88,コミュニティーケア西焼津,地域包括ケア推進課,425-0073,焼津市小柳津566-1,054-639-5261,小規模多機能型居宅介護,○,?老人福祉施設,34.85179552,138.2876557,区域外,
67,デイサービス海の子,地域包括ケア推進課,425-0071,焼津市三ケ名850-3,054-621-5435,通所介護,○,?老人福祉施設,34.85852024,138.3025415,区域外,
66,長者の森,地域包括ケア推進課,425-0071,焼津市三ケ名558-4,054-620-8114,"認知症対応型共同生活介護
短期入所生活介護
通所介護",○,?老人福祉施設,34.85676568,138.3013753,区域外,
68,リビングケアゆうしん三ヶ名,地域包括ケア推進課,425-0071,焼津市三ケ名1359-1,054-631-7725,通所介護,○,?老人福祉施設,34.86306125,138.3014125,区域外,
96,（※休止）デイサービスゆうあい,地域包括ケア推進課,425-0021,焼津市中港1-2-3,054-631-4582,通所介護,○,?老人福祉施設,34.87217502,138.3213382,3,4
65,デイサービスセンターいこいの杜,地域包括ケア推進課,425-0012,焼津市浜当目4-18-10,054-631-4528,通所介護,○,?老人福祉施設,34.88299913,138.3349135,2,
64,介護付き有料老人ホーム浜当目プラス,地域包括ケア推進課,425-0012,焼津市浜当目4-12-1,054-625-8550,介護付き有料老人ホーム,○,?老人福祉施設,34.88146484,138.3339979,3,3
63,介護老人保健施設　浜当目,地域包括ケア推進課,425-0012,焼津市浜当目4-12-1,054-625-8550,"介護老人保健施設
短期入所療養介護
通所リハビリテーション",○,?老人福祉施設,34.88146484,138.3339979,3,3
60,永田デイサービスセンター,地域包括ケア推進課,425-0006,焼津市関方67-1,054-620-1888,通所介護,○,?老人福祉施設,34.89344916,138.3010721,区域外,
61,ケアハウス秀水苑,地域包括ケア推進課,425-0006,焼津市関方146,054-620-7888,軽費老人ホーム,○,?老人福祉施設,34.88970649,138.3018848,区域外,
59,コミュニティーケア高草,地域包括ケア推進課,425-0005,焼津市方ノ上358-1,054-627-5588,"介護老人保健施設
短期入所療養介護
通所リハビリテーション",対象外,?老人福祉施設,34.89273058,138.3054367,区域外,
58,高麓,地域包括ケア推進課,425-0004,焼津市坂本385-1,054-628-0070,"介護老人福祉施設・居宅介護・重度訪問介護・短期入所生活介護・通所介護・認知症対応型通所介護



",○,?老人福祉施設,34.89087619,138.3094097,区域外,
57,グループホームりふぁいん,障害福祉課,425-0043,焼津市石津中町14-15,054-623-7285,共同生活援助,○,①障害福祉サービス等提供施設,34.84347493,138.3240989,3,4
56,グループホームイノベル焼津,障害福祉課,425-0085,焼津市塩津103-1,054-629-1106,共同生活援助/短期入所,○,①障害福祉サービス等提供施設,34.86619114,138.3085786,区域外,
55,ワークこがわ,障害福祉課,425-0033,焼津市南小川1丁目10番地12,054-639-7300,生活介護,○,①障害福祉サービス等提供施設,34.8482732,138.3108314,区域外,
54,ソーシャルインクルーホーム焼津石津,障害福祉課,425-0041,焼津市石津965,054-623-2088,共同生活援助,○,①障害福祉サービス等提供施設,34.84696533,138.3206079,3,4
53,ライフサポートチルル,障害福祉課,425-0074,焼津市柳新屋768-4,054-625-9785,生活介護,○,①障害福祉サービス等提供施設,34.85746175,138.2893848,区域外,
52,子どもスポーツスクールするが,障害福祉課,425-0074,焼津市柳新屋747-１,054-626-1234,放課後等デイサービス,○,①障害福祉サービス等提供施設,34.85645182,138.2887044,区域外,
51,ヒーローズきっず焼津教室,障害福祉課,425-0035,焼津市東小川1-8-4　３階,054-629-0880,児童発達支援,○,①障害福祉サービス等提供施設,34.85964735,138.3158179,2,4
50,めだかの学校　焼津校,障害福祉課,425-0022,焼津市本町4丁目7-15,054-625-9741,放課後等デイサービス,○,①障害福祉サービス等提供施設,34.86433404,138.3217635,3,4
49,ビレッジキッズやいづ,障害福祉課,425-0056,焼津市下小田中町9-4,054-625-8707,放課後等デイサービス,○,①障害福祉サービス等提供施設,34.83920383,138.3210881,3,4
48,ソーシャルインクルーホーム焼津惣右衛門,障害福祉課,425-0065,焼津市惣右衛門10-1,054-624-5110,共同生活援助　短期入所,対象外,①障害福祉サービス等提供施設,34.81790012,138.3202574,区域外,
47,ラビット焼津,障害福祉課,425-0064,焼津市三和951,054-625-7550,就労継続支援B型,○,①障害福祉サービス等提供施設,34.82884304,138.3014396,区域外,
46,ライム,障害福祉課,425-0074,焼津市柳新屋827-2,054-631-6853,就労継続支援Ａ型,○,①障害福祉サービス等提供施設,34.85875515,138.2913748,区域外,
45,ライト／ライトプラス,障害福祉課,425-0022,焼津市本町1丁目1-5,054-625-9870,"就労継続支援B型
就労選択支援",○,①障害福祉サービス等提供施設,34.86891005,138.3216862,4,4
44,障害者生活介護　くくり,障害福祉課,421-0205,焼津市宗高812-1,054-631-7707,生活介護,○,①障害福祉サービス等提供施設,34.80313612,138.2859844,区域外,
43,インフィニティひまわりの橋,障害福祉課,425-0022,焼津市本町5丁目1-1,054-625-8895,就労継続支援B型,○,①障害福祉サービス等提供施設,34.8636,138.3196,3,4
42,いちご事業所　レモン,障害福祉課,425-0066,焼津市大島315-1,054-639-5526,短期入所,○,①障害福祉サービス等提供施設,34.8238,138.2862,区域外,
41,いちご事業所　メロン,障害福祉課,425-0066,焼津市大島315-1,054-639-5526,共同生活援助,○,①障害福祉サービス等提供施設,34.8238,138.2862,区域外,
40,ドリームゲート焼津,障害福祉課,425-0056,焼津市下小田中町9-4,054-625-8707,共同生活援助,○,①障害福祉サービス等提供施設,34.8392,138.321,3,4
39,ミライ／ミライプラス,障害福祉課,425-0028,焼津市駅北3丁目22-10,054-625-8335,"就労継続支援Ａ型
就労選択支援",○,①障害福祉サービス等提供施設,34.8745,138.313,区域外,1
38,共同生活援助すぴか　くれあ,障害福祉課,425-0035,焼津市東小川7-15-28　アニメティーコーポ山崎Ⅱ101、102号,054-626-2877,共同生活援助,○,①障害福祉サービス等提供施設,34.8516,138.3103,区域外,
37,共同生活援助すぴか　こすもⅠ、Ⅱ,障害福祉課,425-0036,焼津市西小川5丁目19-6　オスオハイツ103、105号,054-626-2877,共同生活援助,○,①障害福祉サービス等提供施設,34.8601,138.306,区域外,
36,共同生活援助すぴか　かぺら,障害福祉課,425-0026,焼津市焼津3-11-2,054-626-2877,共同生活援助,○,①障害福祉サービス等提供施設,34.8633,138.3091,区域外,1
35,大井川心愛,障害福祉課,421-0205,宗高950‐1,054－662-0076,地域活動支援センター,対象外,①障害福祉サービス等提供施設,34.8059,138.2863,区域外,
34,花・はな,障害福祉課,425-0088,大覚寺3-2-2,054-620-8787,地域活動支援センター,対象外,①障害福祉サービス等提供施設,34.8761,138.3045,区域外,
32,就労継続支援B型事業所　からふる工房やぐす,障害福祉課,425-0091,焼津市八楠1-5-19,054-625-8261,就労継続支援B型,○,①障害福祉サービス等提供施設,34.8828437,138.3062202,区域外,
31,スタジオ　プレアデス,障害福祉課,425-0022,焼津市本町1-2-4　焼津本町一丁目ビル３F,054-629-7711,就労継続支援B型,○,①障害福祉サービス等提供施設,34.86926215,138.321939,4,4
30,焼津の空と大地と,障害福祉課,421-0204,焼津市高新田2399-54,054－622-6008,"就労継続支援B型
生活介護",○,①障害福祉サービス等提供施設,34.80197944,138.314295,3,1
29,焼津ドリームビレッジ,障害福祉課,425-0056,焼津市下小田中町9-4,054-625-8744,"就労継続支援A型
",○,①障害福祉サービス等提供施設,34.83920383,138.3210881,区域外,4
28,漣,障害福祉課,425-0071,焼津市三ケ名1592-1,054-626-8902,就労継続支援B型,○,①障害福祉サービス等提供施設,34.86637587,138.3054587,区域外,
27,らいふさぽーと結・結,障害福祉課,425-0035,焼津市東小川6-15-3,054-629-8777,就労継続支援B型,○,①障害福祉サービス等提供施設,34.85441352,138.3110555,区域外,1
26,生活介護・沙羅,障害福祉課,425-0077,焼津市五ヶ堀之内530-3,054-626-2116,生活介護,○,①障害福祉サービス等提供施設,34.86380886,138.2989152,区域外,
25,野いちご,障害福祉課,425-0086,焼津市小土1294-1,054-626-3222,就労継続支援B型,○,①障害福祉サービス等提供施設,34.8613699,138.2824254,区域外,
24,つぶら作業所,障害福祉課,425-0077,焼津市五ケ堀之内628-5,054-621-5442,就労継続支援B型,○,①障害福祉サービス等提供施設,34.86228923,138.3005105,区域外,
23,緑遥作業所,障害福祉課,425-0066,焼津市大島132,054-623-5401,"就労継続支援B型
生活介護",対象外,①障害福祉サービス等提供施設,34.8258374,138.2838341,区域外,
22,大井川福祉サービスセンター,障害福祉課,421-0205,焼津市宗高572-1,054-662-0610,"居宅介護
重度訪問介護
同行援護",対象外,①障害福祉サービス等提供施設,34.80329725,138.2905811,区域外,
21,すいせん,障害福祉課,421-0205,焼津市宗高949-2,054-662-3758,"就労継続支援B型
生活介護",○,①障害福祉サービス等提供施設,34.8054777,138.2864128,区域外,
20,大井川寮,障害福祉課,421-0204,焼津市高新田778-1,054-622-8430,"生活介護
短期入所
障害者支援施設",対象外,①障害福祉サービス等提供施設,34.80297499,138.3121935,2,
19,暁,障害福祉課,425-0088,焼津市大覚寺3-1-2,054-620-9202,"就労継続支援B型
就労移行支援",○,①障害福祉サービス等提供施設,34.87656603,138.3060558,区域外,
18,生活介護ゆたか,障害福祉課,425-0088,焼津市大覚寺3-2-2,054-628-9760,生活介護,対象外,①障害福祉サービス等提供施設,34.87587185,138.3045749,区域外,
17,生活介護ゆりかもめ,障害福祉課,425-0068,焼津市中新田1890-1,054-623-9464,生活介護,対象外,①障害福祉サービス等提供施設,34.83683594,138.282621,区域外,
16,虹の家,障害福祉課,425-0088,焼津市大覚寺3-2-1,054-629-5712,生活介護,対象外,①障害福祉サービス等提供施設,34.87614339,138.3053103,区域外,
15,ワークすばる,障害福祉課,425-0088,焼津市大覚寺3-2-1,054-620-8790,"就労継続支援B型
就労移行支援",対象外,①障害福祉サービス等提供施設,34.87614339,138.3053103,区域外,
14,焼津福祉サービスセンター,障害福祉課,425-0088,焼津市大覚寺3-2-2,054-627-0412,"居宅介護
重度訪問介護
同行援護",対象外,①障害福祉サービス等提供施設,34.87587185,138.3045749,区域外,
12,すぴか,障害福祉課,425-0026,焼津市焼津3-11-5　ﾋﾞﾗｱｰｸﾙB102号,054-626-2877,共同生活援助,○,①障害福祉サービス等提供施設,34.86279026,138.3089928,区域外,1
11,はばたき,障害福祉課,425-0036,焼津市西小川1-11-6　マイボックス１階１号,054-625-8880,放課後等デイサービス,○,①障害福祉サービス等提供施設,34.86122694,138.3091401,区域外,2
10,La chou chou,障害福祉課,421-0212,焼津市利右衛門519,054-625-8222,放課後等デイサービス,○,①障害福祉サービス等提供施設,34.78974962,138.2871145,区域外,
9,こどもデイサービス　ウルル,障害福祉課,425-0077,焼津市五ケ堀之内1644-1,054-639-5578,放課後等デイサービス,○,①障害福祉サービス等提供施設,34.85422065,138.2927585,区域外,
8,COCO、COCO２,障害福祉課,425-0074,焼津市柳新屋1063-1,054-625-7606,放課後等デイサービス,○,①障害福祉サービス等提供施設,34.86169244,138.2922938,区域外,
7,てん　おおとみ,障害福祉課,425-0062,焼津市中根新田1190-2,054-639-9585,放課後等デイサービス,○,①障害福祉サービス等提供施設,34.8308,138.2909,区域外,
6,リカバリーくすくす,障害福祉課,425-0091,焼津市八楠1-11-14,054-639-7480,放課後等デイサービス,○,①障害福祉サービス等提供施設,34.88337375,138.3061374,区域外,
5,てん　おおいがわ,障害福祉課,421-0218,焼津市下江留313,054-639-9553,"児童発達支援
放課後等デイサービス",○,①障害福祉サービス等提供施設,34.8022,138.2811,区域外,
4,色えんぴつ,障害福祉課,425-0071,焼津市三ケ名1058-1,054-627-2571,"児童発達支援
放課後等デイサービス",○,①障害福祉サービス等提供施設,34.86013753,138.3052572,区域外,
2,リカバリー焼津本町,障害福祉課,425-0022,焼津市本町2-3-18,054-639-7317,放課後等デイサービス,○,①障害福祉サービス等提供施設,34.8676397,138.3208757,3,4
1,ぽぷら,障害福祉課,425-0088,焼津市大覚寺3-2-1,054-627-0600,"児童発達支援
保育所等訪問支援",対象外,①障害福祉サービス等提供施設,34.87614339,138.3053103,区域外,
