ソート番号,クーポン名,クーポン名カナ,業種,クーポンの割引金額,クーポン名表示用,ブロックNO,郵便番号,店舗住所,電話番号,店舗説明,店舗URL,インスタグラムのアカウント,店舗画像,経度,緯度
167,焼津さかなセンター大漁店,ヤイヅサカナセンタータイリョウテン,小売業,500,"1,000円以上会計で500円引き",1,425-0091,静岡県焼津市八楠4-13-7,054-629-1161,営業時間【平日】9:00〜15:00　【土日祝】9:00〜16:00,https://www.shizutetsu-retailing.com/tairyo/,https://www.instagram.com/tairyouten/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/167.jpg,138.3035085,34.880436
168,すずき菓子舗,スズキガシホ,小売業,500,"1,000円以上会計で500円引き",1,421-0204,静岡県焼津市高新田1906-1,054-622-2330,,,https://www.instagram.com/suzuki.kashiho/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/168.jpg,138.304744,34.795854
169,JessiCafe,ジェシカフェ,飲食業,1000,"2,000円以上会計で1,000円引き",1,421-0203,静岡県焼津市藤守541,090-6091-6699,,,https://www.instagram.com/jessicafe.food/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/169.jpg,138.3034882,34.8094468
170,けのひ堂　焼津店,ケノヒドウ　ヤイズテン,飲食業,500,"1,000円以上会計で500円引き",1,425-0036,静岡県焼津市西小川1-11-9,054-626-8886,,https://kenohido.com/menu_yaizu/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/170.jpg,138.308466,34.8615115
171,まるとう農園焼津さかなセンター店,マルトウノウエンヤイヅサカナセンターテン,小売業,500,"1,000円以上会計で500円引き",1,425-0091,静岡県焼津市八楠4丁目13番地の7,0547-46-4545,9:00~17:00まで利用可能,http://www.marutoufarm.com,https://www.instagram.com/marutoufarm/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/171.jpg,138.3035712,34.8801987
173,コスモスベリーズ焼津店＆B.mama館,コスモスベリーズヤイヅテンアンドビーママカン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0035,静岡県焼津市東小川５丁目11-14,054-627-5101,,https://berrys-yaizu.com,https://www.instagram.com/b.mama.style/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/173.jpg,138.309872,34.855908
174,マルハチ村松 浜通り店,マルハチムラマツ　ハマドオリテン,小売業,500,"1,000円以上会計で500円引き",1,425-0025,静岡県焼津市城之腰108-1-1,054-628-7371,,,https://www.instagram.com/maruhachi08_hamadori/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/174.jpg,138.323745,34.861435
175,焼津プリン商店,ヤイズプリンショウテン,小売業,500,"1,000円以上会計で500円引き",1,425-0091,静岡県焼津市八楠4丁目13-7,053-486-2346,,http://www.yaizu-purin.com,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/175.jpg,138.3033573,34.880499
176,魚河岸シャツ　濱いち屋,ウオガシシャツ　ハマイチヤ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0014,静岡県焼津市中里542-1,054-295-6666,営業日　→　毎日営業 営業時間　→　10時～19時,https://www.sativa812.com/,https://www.instagram.com/hamaichi_ya/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/176.jpg,138.3192322,34.8819335
177,濱いち屋キッチン,ハマイチヤキッチン,飲食業,500,"1,000円以上会計で500円引き",1,425-0014,静岡県焼津市中里542-1,054-295-6666,テイクアウトも利用OK！！ 営業日　→　毎日営業 営業時間　→　10時～19時,,https://www.instagram.com/hamaichi_ya/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/177.jpg,138.3192322,34.8819335
178,くすかみ呉服店,クスカミゴフクテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川5-2-15,054-629-2991,,https://www.kusukami.jp/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/178.jpg,138.307978,34.859024
180,スマル家　焼津さかなセンター店,スマルヤ　ヤイヅサカナセンターテン,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4-13-7,054-627-7905,,,https://www.instagram.com/sumaru_ya/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/180.jpg,138.302775,34.8799503
181,エキチカ温泉・くろしお,エキチカオンセンクロシオ,その他,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町1-13-1,054-627-7200,,https://spa-kuroshio.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/181.jpg,138.3173146,34.8704642
182,てっか家　焼津さかなセンター店,テッカヤ　ヤイヅサカナセンターテン,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4-13-7,070-1303-7736,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/182.jpg,138.3036311,34.8803731
183,久星商店,キュウボシショウテン,小売業,500,"1,000円以上会計で500円引き",1,425-0026,静岡県焼津市焼津6-5-7,054-628-3279,9:00~17:30 基本工場内に誰かが居れば開いております。,https://kyuboshi.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/183.jpg,138.3186967,34.8637058
184,スマル水産　焼津さかなセンター店,スマルスイサン　ヤイヅサカナセンターテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4-13-7,054-627-7905,,https://www.sumaru.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/184.jpg,138.3031452,34.8800706
185,麺処 響,メンドコロヒビキ,飲食業,500,"1,000円以上会計で500円引き",1,425-0035,静岡県焼津市東小川6-4-10,,,https://www.mendokoro-hibiki.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/185.jpg,138.3094372,34.8547439
186,岩本燃料,イワモト　ネンリョウ,小売業,500,"1,000円以上会計で500円引き",1,425-0026,静岡県焼津市焼津5丁目10-2,054-628-4213,,https://iwanen19283.eshizuoka.jp/,https://www.instagram.com/iwanen.yaizu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/186.jpg,138.318584,34.863415
187,定長商店,サダチョウショウテン,小売業,500,"1,000円以上会計で500円引き",1,425-0091,静岡県焼津市八楠4-13-7,054-627-7927,営業時間９：００〜１７：００,https://www.sakana-center.com/shop/2483/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/187.jpg,138.3029724,34.8796998
188,うなぎ丸天,ウナギマルテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4丁目13-7焼津さかなセンター内,054-627-8905,,https://www.sakana-center.com/shop/2503/,,,138.303567,34.880302
189,コバヤシ電器,コバヤシデンキ,小売業,1000,"2,000円以上会計で1,000円引き",1,421-0216,静岡県焼津市相川689-1,054-622-1361,,https://ps-hp.jpn.panasonic.com/ps/search/12204851,,,138.2627628,34.8081175
190,一寸ぼうし,イッスンボウシ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0035,静岡県焼津市東小川6丁目5-18,054-628-0811,月〜金　17:00〜23:00 　土日：16:00〜23:00   定休日：火曜・水曜,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/190.jpg,138.309383,34.854488
191,にじいろ。,ニジイロ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町2-3-9,054-639-7700,,,https://www.instagram.com/nijiiro.yaizu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/191.jpg,138.3196253,34.8710079
192,柳屋本店　東小川店,ヤナギヤホンテンヒガシコガワテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0035,静岡県焼津市東小川2丁目1-10,054-629-3244,,https://www.yanagiya.co.jp/chokubai/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/192.jpg,138.317807,34.85808
193,やなぎやカフェ,ヤナギヤカフェ,飲食業,500,"1,000円以上会計で500円引き",1,425-0035,静岡県焼津市東小川2丁目1-10,054-629-3244,,https://yanagiyacafe.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/193.jpg,138.3177428,34.8579706
194,喫茶アルハ,キッサアルハ,小売業,500,"1,000円以上会計で500円引き",1,425-0022,静岡県焼津市本町3丁目9-25,054-628-5545,10：00〜16：30 定休日　水曜日・木曜日  物販（手作りジャム・国産はちみつ）使用可,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/194.jpg,138.322409,34.865645
195,ととや新兵衛,トトヤシンベエ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0032,静岡県焼津市鰯ヶ島136-26うみえ~る焼津2階,054-629-3551,水曜日定休　営業時間月〜金　11：00〜15：00　　土・日　11：00〜15：00　17：00〜21：00,https://totoya-bbq.com/,,,138.3267066,34.8567762
196,肉匠 篝(かがり),ニクショウカガリ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0082,静岡県焼津市大村2丁目30-20,054-639-7986,,https://nbyw600.gorp.jp/,https://www.instagram.com/nikusyo_kagari/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/196.jpg,138.3058199,34.870296
197,焼津 たち吉,ヤイヅタチキチ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0026,静岡県焼津市焼津4丁目6番21号,054-627-5771,（昼）日〜土　11：30〜13：30 （夜）日〜土　17：00〜22：00 （定休日）毎週月曜日（祭日は次の日）,http://www.yaizu-tachikichi.com/honten/,,,138.3141532,34.8618023
198,陽楽坊　晴れ晴れ,ヨウラクボウ　ハレバレ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0026,静岡県焼津市焼津2丁目4-4,054-625-8085,,https://nc56500.gorp.jp/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/198.jpg,138.3154654,34.8651764
199,創作料理　がじゅまる,ソウサクリョウリ　ガジュマル,飲食業,500,"1,000円以上会計で500円引き",1,425-0036,静岡県焼津市西小川2-4-19,054-626-3359,11:30〜14:00 月曜〜金曜 17:30-翌3:00 <定休日> 昼:　土日祝日　夜：日曜日,https://nbvz000.gorp.jp/,,,138.3110276,34.859182
200,焼肉 東海苑 大井川,ヤキニクトウカイエンオオイガワ,飲食業,1000,"2,000円以上会計で1,000円引き",1,421-0201,静岡県焼津市上小杉763-3,054-622-8488,,https://toukaienooigawa.gorp.jp/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/200.jpg,138.282165,34.819054
201,くつろぎ食房かざ花,クツロギショクボウカザハナ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0035,静岡県焼津市東小川2-16-3　2F,054-689-1093,,https://nbvz800.gorp.jp/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/201.jpg,138.3119076,34.8584408
202,やまもと,ヤマモト,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町2-3-18,054-689-4743,,,https://www.instagram.com/yamamoto0416/,,138.3193413,34.8712538
203,そば 一玄,ソバイチゲン,飲食業,500,"1,000円以上会計で500円引き",1,425-0086,静岡県焼津市小土896-7,054-626-8697,昼：11:00〜15:00 夜：17:30〜20:00  定休日：火曜日,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/203.jpg,138.2880862,34.8654179
204,お照ん友,オテント,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0074,静岡県焼津市柳新屋831,054-620-2377,17:30-23:00 　定休日：月曜,,,,138.2910579,34.8586465
206,1 CHIGO,イチゴー,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町6丁目3-19,054-625-9015,,https://1chigo-yaizu.gorp.jp/,,,138.3174177,34.8696151
207,伊駄天本店,イダテンホンテン,飲食業,500,"1,000円以上会計で500円引き",1,425-0035,静岡県焼津市東小川4-10-1,054-687-8924,,https://ramen-idaten.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/207.jpg,138.3169376,34.8536698
208,Caffe maar,カフェマール,飲食業,500,"1,000円以上会計で500円引き",1,425-0054,静岡県焼津市一色115,090-5102-3257,定休日：　月曜日・火曜日　　　　　ランチ：土曜日・日曜日（11時〜14時）,https://caffe-maar.jimdosite.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/208.jpg,138.3110184,34.8219794
209,炭火焼 居酒屋 みゆき,スミビヤキイザカヤミユキ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川1-11-20,054-685-9642,,https://nc1d300.gorp.jp/,https://www.instagram.com/sumibiyakiizakayamiyuki/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/209.jpg,138.309394,34.861038
210,炭火串焼　酒楽,スミビクシヤキ　シュラク,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川8-1-6志桜ビル201,054-631-9459,,https://nc5n200.gorp.jp/,https://www.instagram.com/syuraku_kushiyaki/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/210.jpg,138.3080693,34.8501284
211,フランス菓子　ラ・フォセット,フランスガシ　ラ・フォセット,飲食業,500,"1,000円以上会計で500円引き",1,425-0026,静岡県焼津市焼津2丁目13-7,054-621-5555,,http://la-fossette.com,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/211.jpg,138.3106318,34.8641637
212,まなとら,マナトラ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川2丁目4-19ジェネス1F,054-631-5915,月〜土　17:00〜23:00 定休日：日曜日,,,,138.3110191,34.8591871
213,炭火焼肉 SUPER和牛 焼肉専門店,スミビヤキニク　スーパーワギュウ　ヤキニクセンモンテン,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0041,静岡県焼津市石津638,054-623-2929,営業時間：平日16:00～22:00　金土日11:00～14:00/16:00～22:00,http://www.superwagyu.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/213.jpg,138.3148041,34.843372
214,焼肉のかねまる　焼津店,ヤキニクノカネマルヤイヅテン,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0031,静岡県焼津市小川新町4-1-1,054-631-5529,,https://niku-kanemaru.com/71793/%E7%84%BC%E8%82%89%E3%81%AE%E3%81%8B%E3%81%AD%E3%81%BE%E3%82%8B/%E7%84%BC%E6%B4%A5%E5%BA%97/,,,138.3178895,34.8551929
215,四代目肉の良知,ヨンダイメニクノラチ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0026,静岡県焼津市焼津4丁目3-7,050-1195-0242,,https://niku-kanemaru.com/71793/%E5%9B%9B%E4%BB%A3%E7%9B%AE%E8%82%89%E3%81%AE%E8%89%AF%E7%9F%A5/,,,138.3151803,34.862013
216,焼肉のかねまる　西焼津店,ヤキニクノカネマルニシヤイヅテン,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0073,静岡県焼津市小柳津224-1,054-629-8929,,https://niku-kanemaru.com/71793/%E7%84%BC%E8%82%89%E3%81%AE%E3%81%8B%E3%81%AD%E3%81%BE%E3%82%8B/%E8%A5%BF%E7%84%BC%E6%B4%A5%E5%BA%97/,,,138.2833749,34.853002
217,ハットリ製茶,ハットリセイチャ,小売業,500,"1,000円以上会計で500円引き",1,425-0071,静岡県焼津市三ケ名787-1,054-629-5057,9時から18時,,https://www.instagram.com/hattoriseicha.yaidu/,,138.298768,34.859471
218,ハンドメイドサロン Violalily,ハンドメイドサロン ヴィオラリリー,その他,500,"1,000円以上会計で500円引き",1,425-0054,静岡県焼津市一色808-1,080-2247-5907,,,https://www.instagram.com/violalily73/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/218.jpg,138.3103659,34.827523
219,吉津屋商店,ヨシヅヤショウテン,小売業,1000,"2,000円以上会計で1,000円引き",1,421-0216,静岡県焼津市相川1057-1,054-622-3035,,,https://www.instagram.com/yoshizuyasyouten/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/219.jpg,138.2638886,34.8069789
220,Dolce Garden W,ドルチェガーデンダブリュウ,飲食業,500,"1,000円以上会計で500円引き",1,425-0041,静岡県焼津市石津2丁目1-4,090-3630-8302,営業時間9時30分〜16時30分(ラストオーダー16時),,https://www.instagram.com/dolcegarden_w/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/220.jpg,138.3150162,34.8436287
221,コハマ小川店,コハマコガワテン,小売業,500,"1,000円以上会計で500円引き",1,425-0037,静岡県焼津市南小川1丁目17番地５,054-656-0070,,,https://www.instagram.com/kohamakogawa/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/221.jpg,138.3085084,34.8473365
222,真弥,シンヤ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0072,静岡県焼津市大住711-2,054-620-3577,（昼）9：00〜14：00 （夜）予約 （定休日）水曜日,,https://www.instagram.com/yaizu_shinya/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/222.jpg,138.2899879,34.8469111
223,ヘアモードスカイ,ヘアモードスカイ,その他,1000,"2,000円以上会計で1,000円引き",1,425-0051,静岡県焼津市田尻北1501-7,054-624-7245,,,,,138.332777,34.839996
224,洋菓子屋アイリー,ヨウガシヤアイリー,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0035,静岡県焼津市東小川2-17-5,054-620-3800,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/224.jpg,138.312935,34.8586222
225,ハンドメイド＆雑貨のお店　KURISANCHI,ハンドメイドアンドザッカノオミセ　クリサンチ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町3-3-32,非公開,,,https://www.instagram.com/kurisanchi/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/225.jpg,138.3202952,34.8698005
226,RISE,ライズ,その他,500,"1,000円以上会計で500円引き",1,425-0086,静岡県焼津市小土644-7,054-629-8990,,,https://www.instagram.com/explore/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/226.jpg,138.2975781,34.8659015
227,エステルーム Ruby,エステルームルビー,その他,1000,"2,000円以上会計で1,000円引き",1,425-0086,静岡県焼津市小土644-7,054-620-2022,,https://page.line.me/iuu9038p,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/227.jpg,138.2975734,34.8658951
229,松屋,マツヤ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0028,静岡県焼津市栄町5-5-1,054-628-3360,魚屋とランチ、両方利用できます。,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/229.jpg,138.319676,34.867137
230,菓子職人リリピット,カシショクニンリリピット,飲食業,500,"1,000円以上会計で500円引き",1,425-0026,静岡県焼津市焼津2-1-7,054-689-1693,,https://www.riripitto.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/230.jpg,138.316432,34.864826
231,薬のふくち,クスリノフクチ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0026,静岡県焼津市焼津1-3-21,054-629-3114,営業時間9：00〜19：００ 日曜・祝日定休日,http://fukutids.com/,https://www.instagram.com/kusurinofukuchi/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/231.jpg,138.3159303,34.8663615
232,中国パレス,チャイナパレス,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0037,静岡県焼津市南小川1丁目18-4,054-624-9222,,http://www.chaipare.com/,https://www.instagram.com/chinapalace_official/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/232.jpg,138.307834,34.8483347
233,ダイニングバーbj,ダイニングバービージェー,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町1丁目2-11小林ビル2F,054-625-7620,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/233.jpg,138.3187351,34.8714216
234,足平蒲鉾,アシヘイカマボコ,小売業,500,"1,000円以上会計で500円引き",1,425-0022,静岡県焼津市本町6-7-9,054-628-3008,営業日　火曜〜土曜 営業時間　11：00〜16：00 定休日　日曜・月曜,https://shop.ashihei.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/234.jpg,138.3211591,34.8609497
235,たこ焼き＆スマイル,タコヤキアンドスマイル,飲食業,500,"1,000円以上会計で500円引き",1,425-0027,静岡県焼津市栄町1丁目5-17,080-9472-6286,定休日：なし 営業時間：日曜日、祝日、月曜日～水曜日/10:00～14:30、15:30～19:00 木、土曜日/10:00～14:30、15:30～24:00　 金曜日/10:00～14:00、16:00～24:00,,https://www.instagram.com/takosuma812/,,138.3184631,34.87139
236,川口呉服店,カワグチゴフクテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0031,静岡県焼津市小川新町1丁目14-14,054-629-5290,9:00~18:00 定休日　毎週月曜日,http://www.kawaguchigofukuten.com/,,,138.322317,34.85903
237,スウィングスポーツ,スウィングスポーツ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0041,静岡県焼津市石津2-4-7,054-624-7544,営業時間　10：00〜19：30 定休日　水曜日,https://swing-sports.jimdofree.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/237.jpg,138.3128067,34.8432411
238,杉山安商店,スギヤマヤスショウテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0071,静岡県焼津市三ケ名392,070-6580-3012,営業時間　午後1：00〜6：00,https://sugiyasu-uogashi.com/,,,138.300337,34.85463
239,ゴルフドゥ西焼津店,ゴルフドゥニシヤイヅテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0074,静岡県焼津市柳新屋843,054-631-7258,,https://www.golfdo.co.jp/tenpo/list/nishiyaizu.html,,,138.2902429,34.858442
240,新屋食堂アヤナイ,アラヤショクドウアヤナイ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0022,静岡県焼津市本町1-4-13,054-629-7363,,https://arayashokudouayanai.jp/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/240.jpg,138.3230669,34.8689846
241,SPORTS SHOP Kona,スポーツショップコナ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0034,静岡県焼津市与惣次１丁目18-29,054-270-3560,,,https://www.instagram.com/sports.shop.kona/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/241.jpg,138.3101134,34.8453564
243,石原水産マリンステーション,イシハラスイサンマリンステーション,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠2-5-2,054-629-7420,,https://ishiharasuisan.co.jp/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/243.jpg,138.3115184,34.878475
244,リラクゼーションサロンASPLIR,リラクゼーシヨンサロン　アスプリール,その他,1000,"2,000円以上会計で1,000円引き",1,425-0041,静岡県焼津市石津3丁目22-6,090-5628-8191,,https://asplir0615.amebaownd.com/,https://www.instagram.com/asplir0615/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/244.jpg,138.3170188,34.844292
245,メチャ安のやおや　すゞや,メチャヤスノヤオヤスズヤ,小売業,500,"1,000円以上会計で500円引き",1,425-0035,静岡県焼津市東小川5丁目12-3,054-628-5487,月〜土　7：30〜18：00 定休日　毎週日曜日,,,,138.31136,34.854938
246,トレジュエ,トレジュエ,小売業,500,"1,000円以上会計で500円引き",1,425-0041,静岡県焼津市石津1-19-2,054-397-5053,,,https://www.instagram.com/tresjouer/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/246.jpg,138.3107609,34.8400924
247,そば屋案山棒,ソバヤアンサンボウ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0072,静岡県焼津市大住99,054-627-7222,クーポンは、朝そばと昼そばでお使いいただけます。,,https://www.instagram.com/ansanbow_yukarin/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/247.jpg,138.287539,34.8509782
248,PORTERS CAFE,ポーターズカフェ,飲食業,500,"1,000円以上会計で500円引き",1,425-0021,静岡県焼津市中港3-1-16 焼津POTERS 1Fフードコート内,090-1207-5439,,https://www.facebook.com/yaizureito/?locale=ja_JP,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/248.jpg,138.3245749,34.8731116
249,こめふく,コメフク,飲食業,500,"1,000円以上会計で500円引き",1,425-0021,静岡県焼津市中港3-1-16 焼津POTERS 1Fフードコート内,090-3349-5029,,https://sites.google.com/view/komefuku-yaizu/%E3%83%9B%E3%83%BC%E3%83%A0,https://www.instagram.com/komefuku_yaizu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/249.jpg,138.3245966,34.8731746
251,大鈴屋豆腐店　焼津店,オオスズヤトウフテン　ヤイヅテン,飲食業,500,"1,000円以上会計で500円引き",1,425-0035,静岡県焼津市東小川8-12-8 A号棟,054-665-6267,,https://www.suruga2525.com/,https://www.instagram.com/oosuzuyatofu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/251.jpg,138.3085364,34.849324
252,名代とんかつ　勝富　焼津インター店,ナダイトンカツ　カツトミ　ヤイズインターテン,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4-12-29,054-620-1003,,http://www.autobacs.net/katsutomi-web/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/252.jpg,138.3052084,34.8806688
253,オートバックス　焼津店,オートバックスヤイヅテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0088,静岡県焼津市大覚寺1丁目1番地の3,054-629-2807,,https://www.autobacs.com/store/top/top?store=119005,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/253.jpg,138.3032547,34.8774314
254,まいどおおきに焼津八楠食堂,マイドオオキニヤイズヤグスショクドウ,飲食業,500,"1,000円以上会計で500円引き",1,425-0091,静岡県焼津市八楠4-2-3,054-626-7500,,https://www.fujiofood.com/shop_search/shokudo/shop_0861.php,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/254.jpg,138.3048023,34.8772615
256,private salon Lino,プライベート　サロン　リノ,その他,1000,"2,000円以上会計で1,000円引き",1,425-0086,静岡県焼津市小土539-5,,,https://lin.ee/T4SkVit,https://www.instagram.com/private_salon_lino_/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/256.jpg,138.3008688,34.868965
258,（株）寺岡銈吉商店,テラオカケイキチショウテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0026,静岡県焼津市焼津6丁目4-16,054-628-3669,平日：10：00-17：00 土曜：10：00-14：00 日曜祝日定休,https://terakei.official.ec/,https://www.instagram.com/mytsukudani3/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/258.jpg,138.318929,34.863876
259,川直　工場直売所,カワナオ　コウジョウチョクバイジョ,小売業,500,"1,000円以上会計で500円引き",1,425-0025,静岡県焼津市城之腰15,054-628-2306,,https://kawanao.buyshop.jp/,https://www.instagram.com/kawanao_yaizu/,,138.3236064,34.8602365
260,ラボコスメSHIBAHARA,ラボコスメ　シバハラ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0052,静岡県焼津市田尻1685,054-624-5791,ラボコスメSHIBAHARA 化粧品専門店 焼津市唯一の「クレドポーボーテ正規取扱店」 アルビオン・エレガンス・ベネフィーク・ お肌悩み専門ブランド「シェルクルール」 オーガニックコスメ「肌箋集28」 美顔エステにもご利用いただけます 焼津市田尻1685  営業時間 9;00-19;00  火曜日定休日  ,http://lifeasart.jp,https://www.instagram.com/labcosmeshibahara/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/260.jpg,138.319238,34.825962
261,Second Life～自然療法～,セカンドライフ　シゼンリョウホウ,その他,1000,"2,000円以上会計で1,000円引き",1,425-0086,静岡県焼津市小土224-2,080-1550-6812,,http://secondlife-relaxation.com,https://www.instagram.com/second_life_relaxation/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/261.jpg,138.2930244,34.8696315
263,Fiorita,フィオリータ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0028,静岡県焼津市駅北4-7-11,054-621-5366,,,https://www.instagram.com/fiorita1220/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/263.jpg,138.3182587,34.8740799
