全国地方公共団体コード,法人番号,ID,地方公共団体名,イベント名,言語コード,イベント通称,サブタイトル,イベント名_カナ,イベント名_英語,コンテンツURL,状態,キーワード,タグ,対象となる産業,開催パターン,開始日,終了日,開始時間,終了時間,開始日時特記事項,所要時間,掲載開始日,掲載終了日,概要,説明,サブイベント,イベント種類,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,共催団体,関連組織,対象者,対象者備考,場所名称,集合（受付）場所,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,アクセス方法,駐車場情報,駐車場料金,駐輪場情報,Web開催,Web開催URL,ツール・環境,定員,定員備考,料金種別,決済種別,外国語対応,外国語対応備考,開催条件,参加申込終了日,参加申込終了時間,参加申込方法,申込開始日,申込開始時刻,申込URL,URL,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,画像,画像_ライセンス,備考,イベントジャンル
222127,1.00E+12,20938,焼津市,第19回 焼津フォーク村歌声フェスタ,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00601.html,,焼津;フォーク村,,,,2026/9/13,2026/9/13,11:00,16:00,,,2026/7/8,2029/7/8,,総勢11組が出演し、懐かしい歌謡曲やフォークソングをお届けします。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,20940,焼津市,ウェーブリングで夏疲れリフレッシュ！,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00602.html,,夏の疲れ;リフレッシュ;ウェーブリング;大村地域交流センター7,,,,2026/9/17,2026/9/17,10:00,11:00,,,2026/8/6,2029/8/6,,セルフケア用のウェーブリングを使って、夏の疲れをやさしくリフレッシュしましょう。,,,,無料,大村地域交流センター,054-629-3351,,,,,どなたでも,,大村地域交流センター1階大集会室,,,,静岡県焼津市大覚寺3丁目5-5,,,,,,,,,,,,,,,,20人（申し込み先着順）,,,,,,,,2026年8月26日（水曜日）午前9時から、大村地域交流センターの窓口または電話、下記の申し込みフォームから受付します。,,,https://logoform.jp/form/tWbQ/1673093,,,,,,,,,,健康・福祉
222127,1.00E+12,20941,焼津市,やぎりんトリオ・ケルティカ×渡辺麻衣ーアリッシュコンサートー,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00603.html,,,,,,2026/9/13,2026/9/13,14:00,16:00,,,2026/8/4,2029/8/4,,小泉八雲が育ったアイルランドの民謡と怪談の読み語り付き音楽会です。,,,,"高校生以下500円、大人1,500円",焼津小泉八雲記念館,054-620-0022,,,,,どなたでも,,東益津地域交流センター大会議室,,,,静岡県焼津市石脇上65,,,,,,34.88657657,138.3200868,,,,,,,,,80名,,,,,,,,2026年8月8日（土曜日）午前9時から専用フォームにてお申込みください。,,,https://logoform.jp/form/tWbQ/1638969,,,,,,,,,,見る・聞く
222127,1.00E+12,20958,焼津市,空き家の無料相談会（県との共催）,JA,,,,,https://www.city.yaizu.lg.jp/event/kentikujutaku/info-00607.html,,空き家の相談;空き家;空き家困りごと;空き家相続;空き家活用,,,,2026/9/5,2026/9/5,10:00,15:00,,,2026/8/18,2026/9/5,,空き家に関する相続登記や売買等の様々な困りごとに、専門家が相談に応じます。,,,,無料,静岡県空き家対策推進協議会 事務局,電話番号：054-247-3823,,,,,どなたでも,,焼津市役所本庁舎1階 会議室1B,,,,静岡県焼津市本町2丁目16-32,,,,,,,,,,,,,,,,20人（先着順）,,,,,,,,電話にてお申込み,,,,,,,,,,,,,その他
222127,1.00E+12,20981,焼津市,まちじゅう元気塾,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00609.html,,まちじゅう元気塾;ふまねっと運動教室;ふまねっと,,,,2026/9/3,2026/9/24,10:00,11:30,,,2026/7/24,2037/12/31,,大きなマス目でできた網を踏まないように歩く4回1コースの運動教室です。認知症予防にも効果があります！一緒に楽しく運動しませんか？,,,,,健康づくり課,054-627-4111,,,,,高齢者向け,,焼津市役所大井川庁舎1階 健診コーナー,,,,静岡県焼津市宗高900,,,,,,,,,,,,,,,,20人（申込順）,,,,,,,,2026年8月5日（水曜日）午前9時以降に保健センター（焼津市役所アトレ庁舎1階）に電話か窓口で,,,,,,,,,,,,,健康・福祉
222127,1.00E+12,20982,焼津市,ふまねっとを楽しむ会,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00610.html,,ふまねっとを楽しむ会;ふまねっと運動;ふまねっと,,,,2026/9/15,2026/9/15,13:30,15:00,,,2026/7/24,2037/12/31,,大きなマス目でできた網を踏まないように歩く運動です。様々なステップがあり、少しずつ練習をしながら体を動かします。頭を使いながら動くので、認知症予防にも効果があります。一緒に楽しく運動しませんか？,,,,,健康づくり課,054-627-4111,,,,,どなたでも,,保健センター 集検ホール,,,,静岡県焼津市本町5丁目6-1,,,,,,,,,,,,,,,,20人（申込順）,,,,,,,,2026年8月5日（水曜日）午前9時以降に保健センター（焼津市役所アトレ庁舎1階）に電話か窓口で,,,,,,,,,,,,,健康・福祉
222127,1.00E+12,20983,焼津市,いきいき元気あっぷ教室 エクササイズ実践コース,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00611.html,,いきいき元気あっぷ教室;エクササイズ実践コース,,,,2026/9/5,2026/10/3,9:30,11:00,,,2026/7/24,2037/12/31,,理学療法士、作業療法士によるフレイル予防、認知症予防のための運動教室です。一緒に楽しく運動しませんか？,,,,,健康づくり課,054-627-4111,,,,,高齢者向け,,大富地域交流センター,,,,静岡県焼津市中根新田93-1,,,,,,,,,,,,,,,,20人（申込順）,,,,,,,,2026年8月4日（火曜日）午前8時30分以降に保健センター（焼津市役所アトレ庁舎1階）に電話か窓口で,,,,,,,,,,,,,
222127,1.00E+12,20986,焼津市,元気隊ウォーキング,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00612.html,,元気隊ウォーキング;ウォーキング,,,,2026/10/24,2026/10/24,9:00,12:00,,,2026/7/24,2037/12/31,,月1回開催！焼津市の見どころをウォーキング推進員と一緒に楽しく歩きませんか？,,,,,健康づくり課,054-627-4111,,,,,どなたでも,,集合・駐車場所 ディスカバリーパーク焼津 北側駐車場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,20993,焼津市,コミュニケーション検定5級講座,JA,,,,,https://www.city.yaizu.lg.jp/event/communinication_kentei.html,,発達;コミュニケーション;講座;療育;研修,,,,2026/10/25,2026/10/25,9:30,16:30,,,2026/8/4,2029/8/4,,2026年9月14日（月曜日）より申込受付を開始します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,20996,焼津市,やいづ健幸応援団 ユーザー会,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00614.html,,,,,,2026/9/4,2026/9/4,15:00,16:30,,,2026/7/31,2029/7/31,,焼津市では、地域一体となった市民・事業者の健康づくりを推進するため、やいづ健幸応援団への参加事業者を募集しています。今回、やいづ健幸応援団をさらに盛り上げるためこれまでの取り組みを共有し、新たな取り組みをみんなで考えるユーザー会を開催します。,,,,無料,やいづ健康マイレージ事務局,0120-73-5015,,,,,事業者向け,,焼津市役所本庁舎1階1B会議室,,,,静岡県焼津市本町2丁目16-32,,,,,,,,,,,,,,,,,,,,,,,,2026年8月28日（金曜日）までに申し込みフォームからお申し込みください。,,,https://questant.jp/q/B8A4WR5W,,,,,,,,,,その他
222127,1.00E+12,21002,焼津市,【温泉総選挙2026】焼津温泉が「健康/スポーツ部門」にエントリー中,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00616.html,,,,,,2026/8/7,2026/10/31,10:00,18:00,,,2026/8/6,2027/8/6,,「焼津温泉」が温泉総選挙2026で【健康/スポーツ部門】にエントリーしています。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,21005,焼津市,シニア・ミドルシニア向けセミナー&就職相談会,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00617.html,,,,,,2026/10/9,2026/11/6,14:00,16:00,,,2026/7/28,2027/4/1,,概ね45歳以上を対象としたセミナー及び就職相談会を開催します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,21023,焼津市,令和8年度在宅医療市民啓発講演会,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00619.html,,講演会;在宅医療;介護,,,,2026/10/4,2026/10/4,13:30,15:00,,,2026/8/12,2029/8/12,,住民への在宅医療・在宅見取りの普及啓発の一環として、市民を対象に、在宅医療に携わっている医師をお招きして、講演会を実施します。,,,,無料,一般社団法人焼津市医師会,054-631-5667,,,,,どなたでも,,焼津市総合福祉会館「ウェルシップやいづ」多目的ホール,,,,静岡県焼津市大覚寺3丁目2-2,,,,,,34.87624512,138.3045963,,,,,,,,,100名（申込順）,,,,,,,,2026年9月30日（水曜日）までに焼津市医師会（電話番号：054-631-5661）へ電話かファクス（ファクス番号：054-629-1153）または申し込みフォームで申し込み。,,,,,,,,,,,,,
222127,1.00E+12,21043,焼津市,うたって、おどって、音あそび,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00622.html,,幼児;あそび;音楽;運動,,,,2026/9/26,2026/9/26,10:00,11:00,,,2026/8/12,2029/8/8,,歌ったり、体を動かしたり、パネルシアターを楽しんだり…。0から3歳のお子さんと保護者が笑顔で過ごせる音あそび幼児講座。初めての方も大歓迎。,,,,無料,港地域交流センター,054-624-8855,,,,,こども向け,,港地域交流センター2階和室,,,,静岡県焼津市石津港町40-1,,,,,,34.84135136,138.3261646,,,,,,,,,10組（先着順）,,,,,,,,次の申込みフォームまたは港地域交流センター（電話番号：054-624-8855）まで申し込み。,,,https://logoform.jp/form/tWbQ/1690439,,,,,,,,,,こども・子育て
222127,1.00E+12,21047,焼津市,「忘れられない感動の映画音楽」講座,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00624.html,,映画;映画音楽;小澤正人;大井川地域交流センター,,,,2026/10/7,2026/10/7,13:30,15:30,,,2026/8/20,2026/10/7,,講師の深い洞察とユーモアを交えた解説を聞きながら、主に映画音楽に焦点をあて、名作映画の一場面を鑑賞します。あわせて、名作映画のポスター展も開催します。普段なかなか接することのない映画の世界を、この機会にじっくりと味わってみてはいかがでしょうか。,,,,無料,大井川地域交流センター,054-622-3111,,,,,どなたでも,,大井川地域交流センター大会議室,,,,静岡県焼津市宗高900,,,,,,,,,,,,,,,,60人（申込順）,,,,,,,,2026年8月20日（木曜日）午前9時より電話（電話番号：054-622-3111）または窓口でお申し込みください。,,,,,,,,,,,,,学び・講座
222127,1.00E+12,21048,焼津市,高齢者の権利を守るセミナー,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00625.html,,高齢者;詐欺;消費者被害;防犯対策,,,,2026/11/9,2026/11/9,13:30,15:00,,,2026/8/26,2029/8/26,,高齢者を狙う詐欺や消費者被害を防ぐため、日本防犯大学学長によるセミナーを開催します。最新の対策を学び、大切な権利と安心の暮らしを守りましょう。,,,,無料,焼津市中部地域包括支援センター,054-626-8811,,,,,高齢者向け,,焼津市総合福祉会館「ウェルシップやいづ」多目的ホール,,,,静岡県焼津市大覚寺3丁目2-2,,,,,,34.8761483,138.3045427,,,,,,,,,100人,,,,,,,,2026年11月6日（金曜日）までに焼津市中部地域包括支援センター（電話番号：054-626-8811）へ電話かファクス（ファクス番号：054-620-8303）または申し込みフォームで申し込み。,,,,,,,,,,,,,
222127,1.00E+12,21049,焼津市,地図好きさんの地理講座【オンライン講座】,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00626.html,,地理;地図;講座;大井川地域交流センター,,,,2026/9/30,2026/9/30,13:30,15:00,,,2026/8/20,2026/9/30,,地図地理検定に出題された問題を解きながら、静岡県の地理について学びます。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,21058,焼津市,【特別展】文豪は猫がお好きー物語のそばには、いつも猫。,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00628.html,,,,,,2026/9/12,2027/2/28,9:00,17:00,,,2026/8/18,2029/8/18,,古今東西、多くの文学者を魅了してきた猫。本展では、小泉八雲をはじめ、様々な文豪が描いた猫の世界をご紹介します。文学ファンはもちろん、猫好きの皆さまにもお楽しみいただける展示会です。,,,,無料,焼津小泉八雲記念館,054-620-0022,,,,,どなたでも,,焼津小泉八雲記念館,,,,静岡県焼津市三ケ名1550番地（焼津市文化センター内）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,学び・講座
222127,1.00E+12,21060,焼津市,オレンジフェスタ2026 ～一緒に学ぼう 考えよう 認知症～,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00629.html,,認知症,,,,2026/9/13,2026/9/13,9:00,11:00,,,2026/8/19,2029/8/19,,9月は認知症月間です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,21068,焼津市,【特別展関連イベント】私の猫自慢,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00632.html,,猫,,,,2026/9/12,2027/2/28,9:00,17:00,,,2026/8/18,2029/8/18,,【特別展】文豪は猫がお好き―物語のそばには、いつも猫。の関連イベントを開催！あなたの自慢の猫をみんなに紹介しませんか？,,,,無料,焼津小泉八雲記念,054-620-0022,,,,,どなたでも,,焼津小泉八雲記念館,,,,静岡県焼津市三ケ名1550番地（焼津市文化センター内）,,,,,,34.86459618,138.3063698,,,,,,,,,,,,,,,,,焼津小泉八雲記念受付に直接お持ちください。,,,,,,,,,,,,,まつり・催し
222127,1.00E+12,21071,焼津市,【市制75周年】第17回やいづ浜通り 夏のあかり展,JA,,,,,https://www.city.yaizu.lg.jp/event/info-akariten.html,,浜通り;あかり展;行灯,,,,2026/9/4,2026/9/5,0:00,0:00,,,2026/8/21,2029/8/21,,NPO法人浜の会では、幻想的な光で焼津の夜を彩る、焼津の夏の風物詩「浜通り夏のあかり展」を開催します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,21073,焼津市,焼津市内企業見学バスツアー参加者募集,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00633.html,,企業見学;バスツアー;求職,,,,2026/9/29,2026/9/29,9:00,16:45,,,2026/8/25,2029/8/25,,焼津市内の企業を見学するバスツアーを開催します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,21074,焼津市,令和8年度高齢者の居場所づくり講座,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00634.html,,,,,,2026/10/20,2026/12/10,0:00,0:00,,,2026/8/25,2029/8/25,,高齢者が住み慣れた地域で自分らしく暮らすためには、住民同士の支え合いが重要です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222127,1.00E+12,21087,焼津市,食品バイヤーとの個別商談会＆専門家との個別相談会in静岡,JA,,,,,https://www.city.yaizu.lg.jp/event/info-00636.html,,販路拡大;静岡;バイヤー;商談;相談会,,,,2026/11/6,2026/11/6,10:30,16:30,,,2026/8/31,2026/11/8,,静岡県内事業者の商品販路拡大を目指し、食品卸売・小売等のバイヤーとの個別商談会を開催します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
